Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Why do charities pay for items they can get for free?	The first reaction to uncovering these issues with the board was anger. The museum was losing or wasting thousands each year; money that could be used to keep admission prices lower and serve more children! After a deeper look it all came back to training and experience. Most charity founders and directors of small and medium charities are trained in the specialty of the charities mission, in this case child education and development. It is unreasonable to expect every charity director to be up to date on all procurement management methods and the technology that supports business and still run the day-to-day mission. This is where free for charity will come in to help your charities projects to thrive.	freeforcharity Help For Charities QnA Master List.docx		[]	False	[]	153
How do you provide your program services?	We provide help for charities with efficiency. One element of efficiency is getting the best product at the lowest price. For charities and non profits much more labor can be provided for free by volunteers. Free for Charity does not make your full-time staff take on more and more roles we can fully take over many of these tasks with expert volunteer labor. Business and IT professionals are always seeking to advance their skills while helping out charities. We capture this labor pool (or create it with training programs) and then manage the volunteers for your charities tasks and projects. We can do this at extremely low if not zero cost because of economies of scale, and because most of this work is process or research based and does not have ‘hard’ costs like equipment.	freeforcharity Help For Charities QnA Master List.docx		[{"ClusterHead":"how do I volunteer","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"how do I volunteer","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	154
What do I need to get started?	All you need to do to get free for charity to provide help for your charities mission today is to contact us with some basic information about your charity. We need to know what type of projects that you would like us to look at or undertake. Please fill out the form below and we will be in touch shortly.	freeforcharity Help For Charities QnA Master List.docx		[]	False	[]	155
What services do you provide	Hello, Free For Charity provides many different services, but they vary greatly depending on whether you are an individual or an organization, and what your organizations status is or your individual role. Please select from the below for more info.\n\nServices for Individuals\n\nFree for Charity was originally founded with an educational mission to assist nonprofits with technical and business skills. The primary method of accomplishing this is to train individuals both those that work for the nonprofit as well as external individuals who want to make a difference. We continue to provide training programs across multiple core technologies that support our nonprofit partners. Choose from the options below to learn more about them.\n\nWeb development\nWe have provided full stack web hosting and development to over 100 supported nonprofits since our founding. We will support individuals in learning how to provide the most benefit to nonprofits with missions that you care about. If you are interested in signing up as a skilled volunteer or to enroll in one of our learning programs to become a skilled volunteer visit our volunteer signup page ( [https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/](https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/) ) or call our volunteer manager Christopher Rae: (520) 442-3556.\n\nGraphic Design\nEach new charity in roles in our system always seems to need some form of graphic design support. We provide everything from basic logos to stationary and end-of-the-year report templates that help hours supported nonprofits look more professional and engage more effectively with their constituents. If you are interested in signing up as a skilled volunteer or to enroll in one of our learning programs to become a skilled volunteer visit our volunteer signup page ( [https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/](https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/) ) or call our volunteer manager Christopher Rae: (520) 442-3556.\n\nArtificial Intelligence\nOne of our newest offerings is supporting nonprofits in utilizing Machine Learning and Artificial Intelligence particularly those services provided by Microsoft through the nonprofit grant system. If you are on the cutting edge of AI/ML or want to learn more about these technologies and support nonprofits at the same time visit our volunteer signup page ( [https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/](https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/) ) or call our volunteer manager Christopher Rae: (520) 442-3556.\n\nBusiness Services\nNonprofits are still legally corporations within the United States and as such have all the same requirements and in some cases more than a traditional business. We help to support nonprofits and charities with these business responsibilities through application of both technology and non-technological business support. If you are interested in signing up as a skilled volunteer or to enroll in one of our learning programs to become a skilled volunteer visit our volunteer signup page ( [https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/](https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/) ) or call our volunteer manager Christopher Rae: (520) 442-3556.\n\nOther\nWe are always seeking new ways to make nonprofits better. If you have a skill set not otherwise defined and If you are interested in signing up as a skilled volunteer visit our volunteer signup page ( [https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/](https://freeforcharity.org/volunteer-or-donate-to-free-for-charity/) ) or call our volunteer manager Christopher Rae: (520) 442-3556.\n\nServices for Not-For-Profit, Nonprofits, and Charitable Activities That Are Pre IRS 510c3 Status\n\nFree For Charity is one of the few organizations that provide support to Non-501c(3) organizations. FFC recognizes that all IRS 501c3 nonprofits started out as unrecognized organizations. It is in this vulnerable period, normally the first year of operation where organizations do not qualify for support from major companies such as Google or Microsoft and organizations are at the highest risk of being preyed on by for-profit consultants or businesses. While not all our services are available before your organization has its status our consulting service, and our free WordPress website / domain name service is available. Select each to learn more.\n\nFree For Charity Consulting\nAs simple or complex as it needs to be. No matter where you are at in the process of forming your charity; we will discuss your options and find ways to reduce your organizations costs. As we are a free service however we do require organizations to be at a certain level of commitment and formalization so that we can best apply our limited resources. If you are interested in unlocking all of the different services available to your charitable activity, please submit a formal request through our support system ( [https://ffchosting.org/hub/cart.php?a=add&pid=16](https://ffchosting.org/hub/cart.php?a=add&pid=16) ).\n\nServices for Fully IRS Approved 501C3 Charities & Nonprofits\n\nOur first and best-known service is free domain names and WordPress website hosting for nonprofit and charity organizations. Since our founding we have added many additional services including location management services, social media services, and general consulting.	freeforcharity Help For Charities QnA Master List.docx		[{"ClusterHead":"how do I volunteer","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"how do I volunteer","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	156
What is the difference between a nonprofit and charity?	A nonprofit and a charity are often considered the same thing. The primary differentiator is there are many different types of organizations that can be nonprofit including organizations who have no legal status but operate without a profit motive. Charities however almost always refer to an organization with recognized legal status at both the state and federal level as a nonprofit organization.	freeforcharity Help For Charities QnA Master List.docx		[]	False	[]	157
Why Free For Charity?	Free for Charity has a simple mission with broad implications.\n\nReduce costs and increase revenues for nonprofits; putting that money back into their charitable mission where it belongs. As a nonprofit ourselves we understand what small organizations need and how we can help. Reach out to us and let us prove our worth to your organization.	freeforcharity Help For Charities QnA Master List.docx		[{"ClusterHead":"how to get a free domain","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"how to get a free domain","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	158
What are your office hours?	Free For Charity operates from multiple sites and in multiple US time zones however we do have a limited staff and do not accept walk-ins. We can generally be reached seven days a week between 7 AM and 7 PM in US time zones.  Our preferred method of contact is via bot (Bot direct URL) or support requests ( [https://ffchosting.org/hub](https://ffchosting.org/hub) ) so that the appropriate resource can be alerted. If you are currently supported by Free For Charity and are having an emergency please call Clarke Moyer the founder at 520-222-8104 . If it is not an emergency you can get information and other contact information on our website at ( [https://freeforcharity.org](https://freeforcharity.org) ) 24x7.\n\nCharity / Nonprofit Director FAQ	freeforcharity Help For Charities QnA Master List.docx		[]	False	[]	159
What are your hours	Free For Charity operates from multiple sites and in multiple US time zones however we do have a limited staff and do not accept walk-ins. We can generally be reached seven days a week between 7 AM and 7 PM in US time zones.  Our preferred method of contact is via bot (Bot direct URL) or support requests ( [https://ffchosting.org/hub](https://ffchosting.org/hub) ) so that the appropriate resource can be alerted. If you are currently supported by Free For Charity and are having an emergency please call Clarke Moyer the founder at 520-222-8104 . If it is not an emergency you can get information and other contact information on our website at ( [https://freeforcharity.org](https://freeforcharity.org) ) 24x7.\n\nCharity / Nonprofit Director FAQ	freeforcharity Help For Charities QnA Master List.docx		[]	False	[]	159
Is there a need for a charity to provide help for charities?	Yes there is a need to provide help for charities in many ways! Free for Charity is not the only ‘charity for charities’ helping to lower your costs. Another great charity showing all the big name things you can get for free or at heavy discounts is [TechSoup.org](http://www.techsoup.org/) . Even with these other sites many charities and non profits still pay for profit companies to do work every day or buy products at full cost. Some do so without knowing that as a charity they qualify for lower rates or even free services from major companies. Others because it is hard to find the free products needed though the massive amount of paid marketing by well-funded for profit companies.\n\nThe Free for Charity services, consultant, and technology products directories seeks to fix this problem with our motto “Decisions should be made by metrics not marketing.”	freeforcharity Help For Charities QnA Master List.docx		[{"ClusterHead":"Hello, I need help to build a non profit charity website. Could you help?","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Hello, I need help to build a non profit charity website. Could you help?","AutoSuggestedCount":1,"UserSuggestedCount":0}]},{"ClusterHead":"help","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"help","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	160
Where did the idea come from?	Free for charity was started when the founder first started as a board member on the local children’s museum’s board of directors. In just a few short weeks he uncovered many items the museum was paying for that were free to charities, but the museum was paying for anyways .In addition, for big projects the museum was not following any procurement management procedures at all. Items such as quoting from multiple vendors before a bid or cross leveling the bids for price and quality were not being done.Other issues found were the reliance on outdated technology because better alternatives were not known to the non IT trained staff .	freeforcharity Help For Charities QnA Master List.docx		[]	False	[]	161
